rownames,treat,age,educ,race,married,nodegree,re74,re75,re78,hispan,white
NSW1,1,37,11,black,1,1,0.0,0.0,9930.046,False,False
NSW2,1,22,9,hispan,0,1,0.0,0.0,3595.894,True,False
NSW3,1,30,12,black,0,0,0.0,0.0,24909.45,False,False
NSW4,1,27,11,black,0,1,0.0,0.0,7506.146,False,False
NSW5,1,33,8,black,0,1,0.0,0.0,289.7899,False,False
NSW6,1,22,9,black,0,1,0.0,0.0,4056.494,False,False
NSW7,1,23,12,black,0,0,0.0,0.0,0.0,False,False
NSW8,1,32,11,black,0,1,0.0,0.0,8472.158,False,False
NSW9,1,22,16,black,0,0,0.0,0.0,2164.022,False,False
NSW10,1,33,12,white,1,0,0.0,0.0,12418.07,False,True
NSW11,1,19,9,black,0,1,0.0,0.0,8173.908,False,False
NSW12,1,21,13,black,0,0,0.0,0.0,17094.64,False,False
NSW13,1,18,8,black,0,1,0.0,0.0,0.0,False,False
NSW14,1,27,10,black,1,1,0.0,0.0,18739.93,False,False
NSW15,1,17,7,black,0,1,0.0,0.0,3023.879,False,False
NSW16,1,19,10,black,0,1,0.0,0.0,3228.503,False,False
NSW17,1,27,13,black,0,0,0.0,0.0,14581.86,False,False
NSW18,1,23,10,black,0,1,0.0,0.0,7693.4,False,False
NSW19,1,40,12,black,0,0,0.0,0.0,10804.32,False,False
NSW20,1,26,12,black,0,0,0.0,0.0,10747.35,False,False
NSW21,1,23,11,black,0,1,0.0,0.0,0.0,False,False
NSW22,1,41,14,white,0,0,0.0,0.0,5149.501,False,True
NSW23,1,38,9,white,0,1,0.0,0.0,6408.95,False,True
NSW24,1,24,11,black,0,1,0.0,0.0,1991.4,False,False
NSW25,1,18,10,black,0,1,0.0,0.0,11163.17,False,False
NSW26,1,29,11,black,1,1,0.0,0.0,9642.999,False,False
NSW27,1,25,11,black,0,1,0.0,0.0,9897.049,False,False
NSW28,1,27,10,hispan,0,1,0.0,0.0,11142.87,True,False
NSW29,1,17,10,black,0,1,0.0,0.0,16218.04,False,False
NSW30,1,24,11,black,0,1,0.0,0.0,995.7002,False,False
NSW31,1,17,10,black,0,1,0.0,0.0,0.0,False,False
NSW32,1,48,4,black,0,1,0.0,0.0,6551.592,False,False
NSW33,1,25,11,black,1,1,0.0,0.0,1574.424,False,False
NSW34,1,20,12,black,0,0,0.0,0.0,0.0,False,False
NSW35,1,25,12,black,0,0,0.0,0.0,3191.753,False,False
NSW36,1,42,14,black,0,0,0.0,0.0,20505.93,False,False
NSW37,1,25,5,black,0,1,0.0,0.0,6181.88,False,False
NSW38,1,23,12,black,1,0,0.0,0.0,5911.551,False,False
NSW39,1,46,8,black,1,1,0.0,0.0,3094.156,False,False
NSW40,1,24,10,black,0,1,0.0,0.0,0.0,False,False
NSW41,1,21,12,black,0,0,0.0,0.0,1254.582,False,False
NSW42,1,19,9,white,0,1,0.0,0.0,13188.83,False,True
NSW43,1,17,8,black,0,1,0.0,0.0,8061.485,False,False
NSW44,1,18,8,hispan,1,1,0.0,0.0,2787.96,True,False
NSW45,1,20,11,black,0,1,0.0,0.0,3972.54,False,False
NSW46,1,25,11,black,1,1,0.0,0.0,0.0,False,False
NSW47,1,17,8,black,0,1,0.0,0.0,0.0,False,False
NSW48,1,17,9,black,0,1,0.0,0.0,0.0,False,False
NSW49,1,25,5,black,0,1,0.0,0.0,12187.41,False,False
NSW50,1,23,12,black,0,0,0.0,0.0,4843.176,False,False
NSW51,1,28,8,black,0,1,0.0,0.0,0.0,False,False
NSW52,1,31,11,black,1,1,0.0,0.0,8087.487,False,False
NSW53,1,18,11,black,0,1,0.0,0.0,0.0,False,False
NSW54,1,25,12,black,0,0,0.0,0.0,2348.973,False,False
NSW55,1,30,11,black,1,1,0.0,0.0,590.7818,False,False
NSW56,1,17,10,black,0,1,0.0,0.0,0.0,False,False
NSW57,1,37,9,black,0,1,0.0,0.0,1067.506,False,False
NSW58,1,41,4,black,1,1,0.0,0.0,7284.986,False,False
NSW59,1,42,14,black,1,0,0.0,0.0,13167.52,False,False
NSW60,1,22,11,white,0,1,0.0,0.0,1048.432,False,True
NSW61,1,17,8,black,0,1,0.0,0.0,0.0,False,False
NSW62,1,29,8,black,0,1,0.0,0.0,1923.938,False,False
NSW63,1,35,10,black,0,1,0.0,0.0,4666.236,False,False
NSW64,1,27,11,black,0,1,0.0,0.0,549.2984,False,False
NSW65,1,29,4,black,0,1,0.0,0.0,762.9146,False,False
NSW66,1,28,9,black,0,1,0.0,0.0,10694.29,False,False
NSW67,1,27,11,black,0,1,0.0,0.0,0.0,False,False
NSW68,1,23,7,white,0,1,0.0,0.0,0.0,False,True
NSW69,1,45,5,black,1,1,0.0,0.0,8546.715,False,False
NSW70,1,29,13,black,0,0,0.0,0.0,7479.656,False,False
NSW71,1,27,9,black,0,1,0.0,0.0,0.0,False,False
NSW72,1,46,13,black,0,0,0.0,0.0,647.2046,False,False
NSW73,1,18,6,black,0,1,0.0,0.0,0.0,False,False
NSW74,1,25,12,black,0,0,0.0,0.0,11965.81,False,False
NSW75,1,28,15,black,0,0,0.0,0.0,9598.541,False,False
NSW76,1,25,11,white,0,1,0.0,0.0,18783.35,False,True
NSW77,1,22,12,black,0,0,0.0,0.0,18678.08,False,False
NSW78,1,21,9,black,0,1,0.0,0.0,0.0,False,False
NSW79,1,40,11,black,0,1,0.0,0.0,23005.6,False,False
NSW80,1,22,11,black,0,1,0.0,0.0,6456.697,False,False
NSW81,1,25,12,black,0,0,0.0,0.0,0.0,False,False
NSW82,1,18,12,black,0,0,0.0,0.0,2321.107,False,False
NSW83,1,38,12,white,0,0,0.0,0.0,4941.849,False,True
NSW84,1,27,13,black,0,0,0.0,0.0,0.0,False,False
NSW85,1,27,8,black,0,1,0.0,0.0,0.0,False,False
NSW86,1,38,11,black,0,1,0.0,0.0,0.0,False,False
NSW87,1,23,8,hispan,0,1,0.0,0.0,3881.284,True,False
NSW88,1,26,11,black,0,1,0.0,0.0,17230.96,False,False
NSW89,1,21,12,white,0,0,0.0,0.0,8048.603,False,True
NSW90,1,25,8,black,0,1,0.0,0.0,0.0,False,False
NSW91,1,31,11,black,1,1,0.0,0.0,14509.93,False,False
NSW92,1,17,10,black,0,1,0.0,0.0,0.0,False,False
NSW93,1,25,11,black,0,1,0.0,0.0,0.0,False,False
NSW94,1,21,12,black,0,0,0.0,0.0,9983.784,False,False
NSW95,1,44,11,black,0,1,0.0,0.0,0.0,False,False
NSW96,1,25,12,white,0,0,0.0,0.0,5587.503,False,True
NSW97,1,18,9,black,0,1,0.0,0.0,4482.845,False,False
NSW98,1,42,12,black,0,0,0.0,0.0,2456.153,False,False
NSW99,1,25,10,black,0,1,0.0,0.0,0.0,False,False
NSW100,1,31,9,hispan,0,1,0.0,0.0,26817.6,True,False
NSW101,1,24,10,black,0,1,0.0,0.0,0.0,False,False
NSW102,1,26,10,black,0,1,0.0,0.0,9265.788,False,False
NSW103,1,25,11,black,0,1,0.0,0.0,485.2298,False,False
NSW104,1,18,11,black,0,1,0.0,0.0,4814.627,False,False
NSW105,1,19,11,black,0,1,0.0,0.0,7458.105,False,False
NSW106,1,43,9,black,0,1,0.0,0.0,0.0,False,False
NSW107,1,27,13,black,0,0,0.0,0.0,34099.28,False,False
NSW108,1,17,9,black,0,1,0.0,0.0,1953.268,False,False
NSW109,1,30,11,black,0,1,0.0,0.0,0.0,False,False
NSW110,1,26,10,black,1,1,2027.999,0.0,0.0,False,False
NSW111,1,20,9,black,0,1,6083.994,0.0,8881.665,False,False
NSW112,1,17,9,hispan,0,1,445.1704,74.34345,6210.67,True,False
NSW113,1,20,12,black,0,0,989.2678,165.2077,0.0,False,False
NSW114,1,18,11,black,0,1,858.2543,214.5636,929.8839,False,False
NSW115,1,27,12,black,1,0,3670.872,334.0493,0.0,False,False
NSW116,1,21,12,white,0,0,3670.872,334.0494,12558.02,False,True
NSW117,1,27,12,black,0,0,2143.413,357.9499,22163.25,False,False
NSW118,1,20,12,black,0,0,0.0,377.5686,1652.637,False,False
NSW119,1,19,10,black,0,1,0.0,385.2741,8124.715,False,False
NSW120,1,23,12,black,0,0,5506.308,501.0741,671.3318,False,False
NSW121,1,29,14,black,0,0,0.0,679.6734,17814.98,False,False
NSW122,1,18,10,black,0,1,0.0,798.9079,9737.154,False,False
NSW123,1,19,9,black,0,1,0.0,798.9079,17685.18,False,False
NSW124,1,27,13,white,1,0,9381.566,853.7225,0.0,False,True
NSW125,1,18,11,white,0,1,3678.231,919.5579,4321.705,False,True
NSW126,1,27,9,black,1,1,0.0,934.4454,1773.423,False,False
NSW127,1,22,12,black,0,0,5605.852,936.1773,0.0,False,False
NSW128,1,23,10,black,1,1,0.0,936.4386,11233.26,False,False
NSW129,1,23,12,hispan,0,0,9385.74,1117.439,559.4432,True,False
NSW130,1,20,11,black,0,1,3637.498,1220.836,1085.44,False,False
NSW131,1,17,9,black,0,1,1716.509,1253.439,5445.2,False,False
NSW132,1,28,11,black,0,1,0.0,1284.079,60307.93,False,False
NSW133,1,26,11,black,1,1,0.0,1392.853,1460.36,False,False
NSW134,1,20,11,black,0,1,16318.62,1484.994,6943.342,False,False
NSW135,1,24,11,black,1,1,824.3886,1666.113,4032.708,False,False
NSW136,1,31,9,black,0,1,0.0,1698.607,10363.27,False,False
NSW137,1,23,8,white,1,1,0.0,1713.15,4232.309,False,True
NSW138,1,18,10,black,0,1,2143.411,1784.274,11141.39,False,False
NSW139,1,29,12,black,0,0,10881.94,1817.284,0.0,False,False
NSW140,1,26,11,white,0,1,0.0,2226.266,13385.86,False,True
NSW141,1,24,9,black,0,1,9154.7,2288.675,4849.559,False,False
NSW142,1,25,12,black,0,0,14426.79,2409.274,0.0,False,False
NSW143,1,24,10,black,0,1,4250.402,2421.947,1660.508,False,False
NSW144,1,46,8,black,0,1,3165.658,2594.723,0.0,False,False
NSW145,1,31,12,white,0,0,0.0,2611.218,2484.549,False,True
NSW146,1,19,11,black,0,1,2305.026,2615.276,4146.603,False,False
NSW147,1,19,8,black,0,1,0.0,2657.057,9970.681,False,False
NSW148,1,27,11,black,0,1,2206.94,2666.274,0.0,False,False
NSW149,1,26,11,black,1,1,0.0,2754.646,26372.28,False,False
NSW150,1,20,10,black,0,1,5005.731,2777.355,5615.189,False,False
NSW151,1,28,10,black,0,1,0.0,2836.506,3196.571,False,False
NSW152,1,24,12,black,0,0,13765.75,2842.764,6167.681,False,False
NSW153,1,19,8,black,0,1,2636.353,2937.264,7535.942,False,False
NSW154,1,23,12,black,0,0,6269.341,3039.96,8484.239,False,False
NSW155,1,42,9,black,1,1,0.0,3058.531,1294.409,False,False
NSW156,1,25,13,black,0,0,12362.93,3090.732,0.0,False,False
NSW157,1,18,9,black,0,1,0.0,3287.375,5010.342,False,False
NSW158,1,21,12,black,0,0,6473.683,3332.409,9371.037,False,False
NSW159,1,27,10,black,0,1,1001.146,3550.075,0.0,False,False
NSW160,1,21,8,black,0,1,989.2678,3695.897,4279.613,False,False
NSW161,1,22,9,black,0,1,2192.877,3836.986,3462.564,False,False
NSW162,1,31,4,black,0,1,8517.589,4023.211,7382.549,False,False
NSW163,1,24,10,black,1,1,11703.2,4078.152,0.0,False,False
NSW164,1,29,10,black,0,1,0.0,4398.95,0.0,False,False
NSW165,1,29,12,black,0,0,9748.387,4878.937,10976.51,False,False
NSW166,1,19,10,white,0,1,0.0,5324.109,13829.62,False,True
NSW167,1,19,11,hispan,1,1,5424.485,5463.803,6788.463,True,False
NSW168,1,31,9,black,0,1,10717.03,5517.841,9558.501,False,False
NSW169,1,22,10,black,1,1,1468.348,5588.664,13228.28,False,False
NSW170,1,21,9,black,0,1,6416.47,5749.331,743.6666,False,False
NSW171,1,17,10,black,0,1,1291.468,5793.852,5522.788,False,False
NSW172,1,26,12,black,1,0,8408.762,5794.831,1424.944,False,False
NSW173,1,20,9,hispan,0,1,12260.78,5875.049,1358.643,True,False
NSW174,1,19,10,black,0,1,4121.949,6056.754,0.0,False,False
NSW175,1,26,10,black,0,1,25929.68,6788.958,672.8773,False,False
NSW176,1,28,11,black,0,1,1929.029,6871.856,0.0,False,False
NSW177,1,22,12,hispan,1,0,492.2305,7055.702,10092.83,True,False
NSW178,1,33,11,black,0,1,0.0,7867.916,6281.433,False,False
NSW179,1,22,12,white,0,0,6759.994,8455.504,12590.71,False,True
NSW180,1,29,10,hispan,0,1,0.0,8853.674,5112.014,True,False
NSW181,1,33,12,black,1,0,20279.95,10941.35,15952.6,False,False
NSW182,1,25,14,black,1,0,35040.07,11536.57,36646.95,False,False
NSW183,1,35,9,black,1,1,13602.43,13830.64,12803.97,False,False
NSW184,1,35,8,black,1,1,13732.07,17976.15,3786.628,False,False
NSW185,1,33,11,black,1,1,14660.71,25142.24,4181.942,False,False
PSID1,0,30,12,white,1,0,20166.73,18347.23,25564.67,False,True
PSID2,0,26,12,white,1,0,25862.32,17806.55,25564.67,False,True
PSID3,0,25,16,white,1,0,25862.32,15316.21,25564.67,False,True
PSID4,0,42,11,white,1,1,21787.05,14265.29,15491.01,False,True
PSID5,0,25,9,black,1,1,14829.69,13776.53,0.0,False,False
PSID6,0,37,9,black,1,1,13685.48,12756.05,17833.2,False,False
PSID7,0,32,12,white,1,0,19067.58,12625.35,14146.28,False,True
PSID8,0,20,12,black,0,0,7392.314,12396.19,17765.23,False,False
PSID9,0,38,9,hispan,1,1,16826.18,12029.18,0.0,True,False
PSID10,0,39,10,white,1,1,16767.41,12022.02,4433.18,False,True
PSID11,0,41,5,white,1,1,10785.76,11991.58,19451.31,False,True
PSID12,0,31,14,white,1,0,17831.29,11563.69,22094.97,False,True
PSID13,0,34,8,white,1,1,8038.872,11404.35,5486.799,False,True
PSID14,0,29,12,white,1,0,14768.95,11146.55,6420.722,False,True
PSID15,0,22,14,black,1,0,748.4399,11105.37,18208.55,False,False
PSID16,0,42,0,hispan,1,1,2797.833,10929.92,9922.934,True,False
PSID17,0,25,9,hispan,0,1,5460.477,10589.76,7539.361,True,False
PSID18,0,28,9,white,1,1,11091.41,10357.02,15406.78,False,True
PSID19,0,40,13,white,1,0,3577.621,10301.52,11911.95,False,True
PSID20,0,35,9,white,1,1,11475.43,9397.403,11087.38,False,True
PSID21,0,27,10,hispan,1,1,15711.36,9098.419,17023.41,True,False
PSID22,0,27,6,hispan,1,1,7831.189,9071.565,5661.171,True,False
PSID23,0,36,12,white,1,0,25535.12,8695.597,21905.82,False,True
PSID24,0,47,8,black,1,1,9275.169,8543.419,0.0,False,False
PSID25,0,40,11,white,1,1,20666.35,8502.242,25564.67,False,True
PSID26,0,27,7,white,1,1,3064.293,8461.065,11149.45,False,True
PSID27,0,36,9,black,1,1,13256.4,8457.484,0.0,False,False
PSID28,0,39,6,hispan,1,1,13279.91,8441.371,25048.94,True,False
PSID29,0,21,9,white,1,1,11156.07,8441.371,1213.214,False,True
PSID30,0,29,12,white,1,0,11199.17,8081.516,0.0,False,True
PSID31,0,22,13,hispan,0,0,6404.843,7882.79,9453.017,True,False
PSID32,0,25,10,white,1,1,13634.54,7793.274,11688.82,False,True
PSID33,0,27,12,white,1,0,12270.89,7709.129,7806.829,False,True
PSID34,0,45,8,white,1,1,22415.97,7635.726,15931.37,False,True
PSID35,0,26,12,white,1,0,2345.242,7565.903,2838.713,False,True
PSID36,0,27,12,white,1,0,9788.497,7496.081,14038.4,False,True
PSID37,0,33,8,white,1,1,12312.03,7474.597,25514.43,False,True
PSID38,0,25,12,white,1,0,11381.38,7467.435,4162.756,False,True
PSID39,0,49,8,white,1,1,6459.703,7431.629,7503.896,False,True
PSID40,0,40,3,hispan,1,1,7576.485,7426.258,12104.06,True,False
PSID41,0,22,12,black,1,0,9729.719,7372.548,2231.367,False,False
PSID42,0,25,5,white,1,1,7891.927,7293.774,14617.67,False,True
PSID43,0,25,12,white,1,0,11516.57,7263.339,19588.74,False,True
PSID44,0,21,12,white,1,0,13601.23,7202.468,10746.03,False,True
PSID45,0,33,9,hispan,1,1,11959.36,7087.887,25564.67,True,False
PSID46,0,20,12,black,1,0,9555.344,7055.661,0.0,False,False
PSID47,0,19,11,white,1,1,4306.468,6978.677,837.871,False,True
PSID48,0,25,12,black,1,0,295.8493,6942.871,461.0507,False,False
PSID49,0,29,12,white,1,0,15303.83,6932.129,24290.87,False,True
PSID50,0,20,12,white,1,0,3558.029,6797.855,6680.802,False,True
PSID51,0,29,6,hispan,1,1,8542.403,6701.177,7196.528,True,False
PSID52,0,25,13,white,1,0,19259.59,6652.839,13015.82,False,True
PSID53,0,41,15,white,1,0,25862.32,6563.323,24647.0,False,True
PSID54,0,39,10,white,1,1,22745.13,6493.5,25564.67,False,True
PSID55,0,33,12,white,1,0,10819.07,6369.968,2936.243,False,True
PSID56,0,29,8,white,1,1,9169.369,6352.065,20575.86,False,True
PSID57,0,21,11,white,1,1,10679.96,6276.871,10923.35,False,True
PSID58,0,31,12,white,1,0,23652.27,6228.532,22403.81,False,True
PSID59,0,36,12,black,1,0,11040.47,6221.371,7215.739,False,False
PSID60,0,25,7,white,1,1,5597.625,6099.629,122.6513,False,True
PSID61,0,35,7,white,1,1,10715.23,6087.097,15177.73,False,True
PSID62,0,22,9,white,1,1,5683.833,6038.758,4742.025,False,True
PSID63,0,31,2,hispan,1,1,3262.179,5965.355,9732.307,True,False
PSID64,0,40,15,white,1,0,10907.24,5922.387,6238.962,False,True
PSID65,0,47,3,white,1,1,9047.894,5911.645,6145.865,False,True
PSID66,0,26,8,hispan,0,1,3168.134,5872.258,11136.15,True,False
PSID67,0,42,7,white,1,1,10971.89,5806.016,9241.702,False,True
PSID68,0,53,12,white,0,0,17104.4,5775.581,19965.56,False,True
PSID69,0,30,17,black,0,0,17827.37,5546.419,14421.13,False,False
PSID70,0,28,10,white,1,1,10415.46,5544.629,10289.41,False,True
PSID71,0,46,11,white,1,1,14753.28,5299.355,0.0,False,True
PSID72,0,28,12,white,0,0,8256.35,5279.661,21602.88,False,True
PSID73,0,27,12,hispan,1,0,17604.01,5222.371,25564.67,True,False
PSID74,0,25,10,white,1,1,4335.857,5181.194,12418.81,False,True
PSID75,0,38,8,white,1,1,11242.27,5174.032,0.0,False,True
PSID76,0,26,12,hispan,0,0,7968.338,5109.581,4181.966,True,False
PSID77,0,54,12,white,0,0,7165.039,5012.903,0.0,False,True
PSID78,0,38,8,hispan,1,1,22606.02,4978.887,8720.065,True,False
PSID79,0,23,17,white,0,0,0.0,4876.839,16747.08,False,True
PSID80,0,23,8,white,1,1,3595.255,4866.097,2782.559,False,True
PSID81,0,23,12,white,1,0,11690.95,4764.048,14065.0,False,True
PSID82,0,25,12,hispan,1,0,8746.167,4762.258,379.7757,True,False
PSID83,0,25,15,white,1,0,7386.436,4738.984,12705.49,False,True
PSID84,0,37,11,hispan,0,1,615.2098,4713.919,0.0,True,False
PSID85,0,40,12,white,1,0,18389.68,4688.855,21857.05,False,True
PSID86,0,19,10,white,0,1,5777.878,4672.742,135.9508,False,True
PSID87,0,48,7,white,1,1,13326.93,4636.935,0.0,False,True
PSID88,0,19,12,white,0,0,8530.648,4620.823,0.0,False,True
PSID89,0,16,9,white,0,1,2539.21,4579.645,0.0,False,True
PSID90,0,29,10,white,1,1,713.1731,4542.048,7781.708,False,True
PSID91,0,30,16,white,0,0,3093.682,4468.645,15538.29,False,True
PSID92,0,22,11,white,1,1,8761.841,4463.274,10642.59,False,True
PSID93,0,22,10,white,0,1,17268.98,4400.613,2453.026,False,True
PSID94,0,47,10,black,1,1,13311.26,4397.032,19330.14,False,False
PSID95,0,25,12,hispan,1,0,2266.872,4361.226,3020.473,True,False
PSID96,0,47,10,black,0,1,21918.32,4323.629,19438.02,False,False
PSID97,0,24,12,black,1,0,8573.752,4293.194,0.0,False,False
PSID98,0,20,12,black,1,0,2648.929,4273.5,0.0,False,False
PSID99,0,28,12,black,0,0,16722.34,4253.806,7314.747,False,False
PSID100,0,47,11,white,0,1,8060.424,4232.323,3358.873,False,True
PSID101,0,50,0,white,1,1,10162.72,4218.0,220.1813,False,True
PSID102,0,18,12,white,0,0,2217.89,4191.145,8957.978,False,True
PSID103,0,21,12,white,0,0,9665.063,4110.581,1687.564,False,True
PSID104,0,47,11,white,1,1,23924.61,4096.258,17358.85,False,True
PSID105,0,21,12,white,0,0,2827.222,4056.871,5937.505,False,True
PSID106,0,34,11,white,1,1,0.0,4010.323,18133.18,False,True
PSID107,0,19,12,white,1,0,5817.063,3919.016,1066.919,False,True
PSID108,0,44,13,white,1,0,8032.994,3881.419,3104.704,False,True
PSID109,0,21,15,white,1,0,6951.479,3879.629,0.0,False,True
PSID110,0,20,12,black,0,0,5099.971,3842.032,12718.79,False,False
PSID111,0,51,11,white,0,1,48.98167,3813.387,1525.014,False,True
PSID112,0,28,13,white,0,0,5260.631,3790.113,9253.524,False,True
PSID113,0,24,15,white,0,0,12746.99,3743.565,0.0,False,True
PSID114,0,28,8,hispan,1,1,8305.332,3718.5,0.0,True,False
PSID115,0,20,11,white,1,1,5822.941,3532.306,11075.56,False,True
PSID116,0,29,12,white,1,0,14288.93,3503.661,8133.407,False,True
PSID117,0,23,12,white,1,0,14347.71,3482.177,3818.445,False,True
PSID118,0,20,11,black,0,1,0.0,3480.387,5495.665,False,False
PSID119,0,42,7,white,1,1,4324.102,3457.113,9856.436,False,True
PSID120,0,43,12,white,1,0,14328.12,3453.532,18781.9,False,True
PSID121,0,27,13,white,0,0,16406.9,3426.677,5344.937,False,True
PSID122,0,27,4,hispan,1,1,626.9654,3410.565,3367.739,True,False
